Export of Imageset (COPY)test-wolves-01 (ball annotations in bounding boxes)
[team|UTRA Robosoccer]
[set|(COPY)test-wolves-01]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]


label::robot|wolves_test_b_175.png|640|480|420|108|491|290|455.5|199.0|71|182
label::robot|wolves_test_b_174.png|640|480|350|110|420|289|385.0|199.5|70|179
label::robot|wolves_test_b_173.png|640|480|345|0|614|290|479.5|145.0|269|290
label::robot|wolves_test_b_172.png|640|480|213|0|339|273|276.0|136.5|126|273
label::robot|wolves_test_b_171.png|640|480|504|50|639|350|571.5|200.0|135|300
label::robot|wolves_test_b_169.png|640|480|550|59|640|259|595.0|159.0|90|200
label::robot|wolves_test_b_168.png|640|480|435|134|552|257|493.5|195.5|117|123
label::robot|wolves_test_b_119.png|640|480|465|33|620|91|542.5|62.0|155|58
label::robot|wolves_test_b_084.png|640|480|258|78|386|140|322.0|109.0|128|62
label::robot|wolves_test_b_083.png|640|480|41|118|271|195|156.0|156.5|230|77
label::robot|wolves_test_b_082.png|640|480|0|234|195|315|97.5|274.5|195|81
label::robot|wolves_test_b_081.png|640|480|194|284|406|345|300.0|314.5|212|61
label::robot|wolves_test_b_079.png|640|480|196|280|401|346|298.5|313.0|205|66
label::robot|wolves_test_b_077.png|640|480|318|220|460|269|389.0|244.5|142|49
label::robot|wolves_test_b_075.png|640|480|135|205|280|253|207.5|229.0|145|48
label::robot|wolves_test_b_052.png|640|480|545|189|637|314|591.0|251.5|92|125
label::robot|wolves_test_b_051.png|640|480|502|17|604|147|553.0|82.0|102|130
label::robot|wolves_test_b_039.png|640|480|348|151|451|227|399.5|189.0|103|76
label::robot|wolves_test_b_016.png|640|480|424|0|640|362|532.0|181.0|216|362
label::robot|wolves_test_b_015.png|640|480|145|0|548|450|346.5|225.0|403|450
label::robot|wolves_test_b_014.png|640|480|307|0|422|218|364.5|109.0|115|218
label::robot|wolves_test_b_012.png|640|480|292|112|433|176|362.5|144.0|141|64
label::robot|wolves_test_b_009.png|640|480|196|37|306|255|251.0|146.0|110|218
label::robot|wolves_test_b_008.png|640|480|0|0|197|475|98.5|237.5|197|475
label::robot|wolves_test_b_007.png|640|480|182|155|265|289|223.5|222.0|83|134
label::robot|wolves_test_b_006.png|640|480|194|25|395|421|294.5|223.0|201|396
label::robot|wolves_test_b_005.png|640|480|204|0|392|141|298.0|70.5|188|141
label::robot|wolves_test_b_004.png|640|480|429|0|576|146|502.5|73.0|147|146
label::robot|wolves_test_b_003.png|640|480|429|0|576|146|502.5|73.0|147|146
label::robot|wolves_test_b_002.png|640|480|97|79|163|239|130.0|159.0|66|160
label::robot|wolves_test_b_001.png|640|480|337|109|404|262|370.5|185.5|67|153
label::robot|wolves_test_b_000.png|640|480|478|0|611|153|544.5|76.5|133|153
label::robot|wolves_test_a_101.png|640|480|134|107|171|198|152.5|152.5|37|91
label::robot|wolves_test_a_094.png|640|480|38|99|108|237|73.0|168.0|70|138
label::robot|wolves_test_a_091.png|640|480|283|113|344|243|313.5|178.0|61|130
label::robot|wolves_test_a_080.png|640|480|400|171|535|256|467.5|213.5|135|85
label::robot|wolves_test_a_079.png|640|480|383|111|524|186|453.5|148.5|141|75
label::robot|wolves_test_a_074.png|640|480|191|110|232|183|211.5|146.5|41|73
label::robot|wolves_test_a_069.png|640|480|254|132|295|250|274.5|191.0|41|118
label::robot|wolves_test_a_065.png|640|480|318|113|362|242|340.0|177.5|44|129
label::robot|wolves_test_a_037.png|640|480|58|210|102|340|80.0|275.0|44|130
label::robot|wolves_test_a_031.png|640|480|45|106|90|194|67.5|150.0|45|88
label::robot|wolves_test_a_025.png|640|480|52|148|107|272|79.5|210.0|55|124
label::robot|wolves_test_a_013.png|640|480|36|60|88|180|62.0|120.0|52|120
label::robot|wolves_test_a_012.png|640|480|169|66|206|159|187.5|112.5|37|93
label::robot|wolves_test_a_011.png|640|480|192|44|228|131|210.0|87.5|36|87
label::robot|wolves_test_a_009.png|640|480|518|87|546|180|532.0|133.5|28|93
label::robot|wolves_test_a_009.png|640|480|296|74|384|304|340.0|189.0|88|230
